FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
541,25002,13397,6309,8976,3763,3170,2282,2385,2396,1665,1576,1991,1995,1106,959,710,1311,1239,1059,784,809,718,809,686,651,699,896,697,507,473,792,795,483,694,482,619,747,586,572,0,0
631,30843,16748,8040,9353,4105,3746,2783,2647,2680,2021,2001,2171,1958,1290,1340,949,1661,1132,1089,962,919,966,899,841,771,778,971,822,636,504,948,954,661,679,601,691,791,710,636,0,0
706,37496,18952,8654,9935,4740,4213,3203,2952,2770,2248,2172,2332,1875,1673,1674,1172,1979,1035,1196,1096,1044,1058,1078,949,886,893,1042,887,701,573,1036,1043,781,624,647,746,777,679,680,0,0
732,43913,19488,8263,10821,4979,3877,3344,2777,2605,2374,2055,2351,1736,1962,1776,1209,2085,970,1306,1074,1041,1054,1086,925,930,856,968,929,712,675,1016,1028,799,561,612,743,789,650,633,0,0
736,49183,18555,7245,11566,4713,3626,3056,2503,2246,2097,1977,2073,1562,1929,1586,1109,1949,922,1356,883,882,1014,1056,796,824,735,915,872,669,749,878,909,705,499,508,752,667,570,632,0,0
703,52904,16888,6232,11247,4401,2950,2652,1807,1619,1765,1699,1838,1433,1700,1277,967,1670,885,1301,709,728,831,951,673,715,561,810,742,562,734,670,717,545,444,389,767,531,390,498,0,0
723,55016,15292,5522,10386,3913,2243,2166,1258,1135,1350,1344,1678,1111,1359,918,798,1337,815,1144,533,581,658,790,496,543,360,647,701,426,656,453,520,394,407,303,718,441,298,414,0,0
705,56025,14206,5020,9788,3415,2038,1836,822,828,1073,1188,1422,743,1121,668,748,1100,741,1082,386,509,547,676,427,450,225,537,667,316,551,305,384,301,399,265,689,341,223,339,0,0
672,56559,13537,4683,9521,3140,2073,1779,612,725,880,919,1191,546,961,553,765,999,663,1044,340,527,458,561,354,416,170,499,601,224,474,220,290,279,411,275,686,289,198,312,0,0
697,57014,12985,4531,9283,2857,2132,1694,537,756,758,690,1038,465,805,462,777,964,598,1006,312,591,408,488,323,389,140,471,539,156,441,179,231,303,460,296,658,255,253,357,0,0
